Día,Hora,Minuto,Mes,Carga (kWh),Descarga (kWh)
3,5,15,5,0.12,0
3,5,20,5,0.12,0
3,5,25,5,0.12,0
3,5,30,5,0.12,0
3,5,35,5,0.12,0
3,5,40,5,0.13,0
3,5,45,5,0.14,0
3,5,50,5,0.15,0
3,5,55,5,0.14,0
3,6,0,5,0.13,0
3,6,5,5,0.12,0
3,6,10,5,0.12,0
3,6,15,5,0.12,0
3,6,20,5,0.12,0
3,6,25,5,0.12,0
3,6,30,5,0.12,0
3,6,35,5,0.12,0
3,6,40,5,0.12,0
3,6,45,5,0.12,0
3,6,50,5,0.12,0
3,6,55,5,0.12,0
3,7,0,5,0.12,0
3,7,5,5,0.12,0
3,7,10,5,0.12,0
3,7,15,5,0.12,0
3,7,20,5,0.14,0
3,7,25,5,0.18,0
3,7,30,5,0.2,0
3,7,35,5,0.18,0
3,7,40,5,0.14,0
3,7,45,5,0.12,0
3,7,50,5,0.13,0
3,7,55,5,0.19,0
3,8,0,5,0.23,0
3,8,5,5,0.22,0
3,8,10,5,0.16,0
3,8,15,5,0.12,0
3,8,20,5,0.12,0
3,8,25,5,0.12,0
3,8,30,5,0.13,0
3,8,35,5,0.17,0
3,8,40,5,0.2,0
3,8,45,5,0.18,0
3,8,50,5,0.14,0
3,8,55,5,0.12,0
3,9,0,5,0.12,0
3,9,5,5,0.16,0
3,9,10,5,0.2,0
3,9,15,5,0.22,0
3,9,20,5,0.18,0
3,9,25,5,0.14,0
3,9,30,5,0.12,0
3,9,35,5,0.16,0
3,9,40,5,0.2,0
3,9,45,5,0.22,0
3,9,50,5,0.18,0
3,9,55,5,0.14,0
3,10,0,5,0.14,0
3,10,5,5,0.19,0
3,10,10,5,0.24,0
3,10,15,5,0.24,0
3,10,20,5,0.19,0
3,10,25,5,0.14,0
3,10,30,5,0.12,0
3,10,35,5,0.18,0
3,10,40,5,0.23,0
3,10,45,5,0.27,0
3,10,50,5,0.22,0
3,10,55,5,0.18,0
3,11,0,5,0.13,0
3,11,5,5,0.12,0
3,11,10,5,0.16,0
3,11,15,5,0.21,0
3,11,20,5,0.25,0
3,11,25,5,0.22,0
3,11,30,5,0.18,0
3,11,35,5,0.14,0
3,11,40,5,0.12,0
3,11,45,5,0.16,0
3,11,50,5,0.2,0
3,11,55,5,0.25,0
3,12,0,5,0.25,0
3,12,5,5,0.22,0
3,12,10,5,0.19,0
3,12,15,5,0.16,0
3,12,20,5,0.15,0
3,12,25,5,0.17,0
3,12,30,5,0.2,0
3,12,35,5,0.23,0
3,12,40,5,0.25,0
3,12,45,5,0.22,0
3,12,50,5,0.17,0
3,12,55,5,0.13,0
3,13,0,5,0.13,0
3,13,5,5,0.18,0
3,13,10,5,0.22,0
3,13,15,5,0.25,0
3,13,20,5,0.25,0
3,13,25,5,0.25,0
3,13,30,5,0.21,0
3,13,35,5,0.17,0
3,13,40,5,0.12,0
3,13,45,5,0.12,0
3,13,50,5,0.14,0
3,13,55,5,0.19,0
3,14,0,5,0.23,0
3,14,5,5,0.23,0
3,14,10,5,0.19,0
3,14,15,5,0.15,0
3,14,20,5,0.13,0
3,14,25,5,0.15,0
3,14,30,5,0.2,0
3,14,35,5,0.24,0
3,14,40,5,0.26,0
3,14,45,5,0.24,0
3,14,50,5,0.2,0
3,14,55,5,0.16,0
3,15,0,5,0.12,0
3,15,5,5,0.12,0
3,15,10,5,0.12,0
3,15,15,5,0.15,0
3,15,20,5,0.19,0
3,15,25,5,0.23,0
3,15,30,5,0.22,0
3,15,35,5,0.18,0
3,15,40,5,0.14,0
3,15,45,5,0.12,0
3,15,50,5,0.12,0
3,15,55,5,0.12,0
3,16,0,5,0.12,0
3,16,5,5,0.12,0
3,16,10,5,0.12,0
3,16,15,5,0.12,0
3,16,20,5,0.13,0
3,16,25,5,0.17,0
3,16,30,5,0.23,0
3,16,35,5,0.24,0
3,16,40,5,0.2,0
3,16,45,5,0.15,0
3,16,50,5,0.12,0
3,16,55,5,0.12,0
3,17,0,5,0.12,0
3,17,5,5,0.12,0
3,17,10,5,0.12,0
3,17,15,5,0.12,0
3,17,20,5,0.12,0
3,17,25,5,0.12,0
3,17,30,5,0.12,0
3,17,35,5,0.09,0.37
3,17,40,5,0.05,0.78
3,17,45,5,0.01,1.16
3,17,50,5,0,1.17
3,17,55,5,0,1.14
3,18,0,5,0,1.2
3,18,5,5,0,1.28
3,18,10,5,0,1.37
3,18,15,5,0,1.45
3,18,20,5,0,1.49
3,18,25,5,0,1.49
3,18,30,5,0,1.49
3,18,35,5,0,1.52
3,18,40,5,0,1.61
3,18,45,5,0,1.62
3,18,50,5,0,1.64
3,18,55,5,0,1.62
3,19,0,5,0,1.62
3,19,5,5,0,1.62
3,19,10,5,0,1.62
3,19,15,5,0,1.83
3,19,20,5,0,1.74
3,19,25,5,0,1.61
3,19,30,5,0,1.5
3,19,35,5,0,1.47
3,19,40,5,0,1.45
3,19,45,5,0,1.43
3,19,50,5,0,1.43
3,19,55,5,0,1.48
3,20,0,5,0,1.53
3,20,5,5,0,1.54
3,20,10,5,0,1.56
3,20,15,5,0,1.59
3,20,20,5,0,1.56
3,20,25,5,0,1.57
3,20,30,5,0,1.59
3,20,35,5,0,1.66
3,20,40,5,0,1.78
3,20,45,5,0,1.9
3,20,50,5,0,2.08
3,20,55,5,0,2.15
3,21,0,5,0,2.2
3,21,5,5,0,2.17
3,21,10,5,0,1.96
3,21,15,5,0,1.71
3,21,20,5,0,1.48
3,21,25,5,0,1.45
3,21,30,5,0,1.5
3,21,35,5,0,1.56
3,21,40,5,0,1.61
3,21,45,5,0,1.63
3,21,50,5,0,1.64
3,21,55,5,0,1.66
3,22,0,5,0,1.68
3,22,5,5,0.04,1.21
3,22,10,5,0.08,0.64
3,22,15,5,0.12,0.09
3,22,20,5,0.12,0
3,22,25,5,0.12,0
3,22,30,5,0.12,0
3,22,35,5,0.12,0
3,22,40,5,0.12,0
3,22,45,5,0.12,0
3,22,50,5,0.12,0
3,22,55,5,0.12,0
3,23,0,5,0.13,0
3,23,5,5,0.15,0
3,23,10,5,0.15,0
3,23,15,5,0.14,0
3,23,20,5,0.12,0
3,23,25,5,0.12,0
3,23,30,5,0.12,0
3,23,35,5,0.12,0
3,23,40,5,0.12,0
3,23,45,5,0.12,0
3,23,50,5,0.12,0
3,23,55,5,0.12,0
3,24,0,5,0,0
4,0,5,5,0,0
4,0,10,5,0,0
4,0,15,5,8.68,0
4,0,20,5,9.16,0
4,0,25,5,9.15,0
4,0,30,5,9.14,0
4,0,35,5,9.14,0
4,0,40,5,9.14,0
4,0,45,5,9.14,0
4,0,50,5,9.14,0
4,0,55,5,9.13,0
4,1,0,5,8.6,0
4,1,5,5,5.64,0
4,1,10,5,2.67,0
4,1,15,5,0.22,0
4,1,20,5,0.18,0
4,1,25,5,0.14,0
4,1,30,5,0.12,0
4,1,35,5,0.12,0
4,1,40,5,0.12,0
4,1,45,5,0.12,0
