FECHA_HORA,HORA,PERIODO,KWH_REC_BESS,KWH_ENT_BESS,BESS_REC_kW,BESS_ENT_kW,KWH_REC_ION,KWH_ENT_ION,ION_REC_kW,ION_ENT_kW,BESS_NETO_kWh,ION_NETO_kWh,Mejora_BESS_ION_kWh,Mejora_BESS_ION_kW,IUSA_CON_BESS_ION_kW,IUSA_SIN_BESS_ION_kW
12/06/2026 10:05,10,Intermedio,57.6,0.0,691.2,0.0,6455.3418884,0,77464.10266080001,0,57.6,6455.3418884,6397.7418884,76772.9026608,77464.10266080001,76772.90266080001
12/06/2026 11:05,11,Intermedio,43.2,0.0,518.4000000000001,0.0,8655.2028807,0,103862.4345684,0,43.2,8655.2028807,8612.0028807,103344.0345684,103862.4345684,103344.0345684
12/06/2026 12:05,12,Intermedio,57.6,0.0,691.2,0.0,7544.868103,0,90538.417236,0,57.6,7544.868103,7487.268102999999,89847.217236,90538.417236,89847.217236
12/06/2026 13:05,13,Intermedio,43.2,0.0,518.4000000000001,0.0,6060.312256,0,72723.747072,0,43.2,6060.312256,6017.112256,72205.347072,72723.747072,72205.347072
12/06/2026 14:05,14,Intermedio,43.2,0.0,518.4000000000001,0.0,5315.7730102000005,0,63789.276122400006,0,43.2,5315.7730102000005,5272.573010200001,63270.876122400005,63789.276122400006,63270.876122400005
12/06/2026 15:05,15,Intermedio,57.6,0.0,691.2,0.0,5524.5952148999995,0,66295.14257879999,0,57.6,5524.5952148999995,5466.995214899999,65603.9425788,66295.14257879999,65603.9425788
12/06/2026 16:05,16,Intermedio,43.2,0.0,518.4000000000001,0.0,5480.9578857,0,65771.49462839999,0,43.2,5480.9578857,5437.7578857,65253.094628399995,65771.49462839999,65253.09462839999
12/06/2026 17:05,17,Intermedio,57.6,0.0,691.2,0.0,4923.4826356,0,59081.7916272,0,57.6,4923.4826356,4865.8826356,58390.5916272,59081.7916272,58390.5916272
12/06/2026 18:05,18,Intermedio,43.2,115.2,518.4000000000001,1382.4,4064.3775329,0,48772.5303948,0,-72.0,4064.3775329,4136.3775329,49636.5303948,48772.5303948,49636.5303948
12/06/2026 19:05,19,Intermedio,0.0,547.2,0.0,6566.400000000001,4237.9071656,0,50854.885987199996,0,-547.2,4237.9071656,4785.1071655999995,57421.2859872,50854.885987199996,57421.2859872
12/06/2026 20:05,20,Intermedio,0.0,648.0,0.0,7776.0,4143.2633055999995,0,49719.159667199994,0,-648.0,4143.2633055999995,4791.2633055999995,57495.159667199994,49719.159667199994,57495.159667199994
12/06/2026 21:05,21,Punta,0.0,518.4,0.0,6220.799999999999,3513.1126405,0,42157.351686,0,-518.4,3513.1126405,4031.5126405,48378.151686,42157.351686,48378.151686
12/06/2026 22:05,22,Punta,43.2,144.0,518.4000000000001,1728.0,4135.3109437,0,49623.7313244,0,-100.8,4135.3109437,4236.1109437000005,50833.3313244,49623.7313244,50833.3313244
12/06/2026 23:05,23,Intermedio,43.2,0.0,518.4000000000001,0.0,4676.1208802,0,56113.4505624,0,43.2,4676.1208802,4632.9208802,55595.05056240001,56113.4505624,55595.0505624
13/06/2026 00:05,24,Intermedio,43.2,0.0,518.4000000000001,0.0,6318.0396423,0,75816.47570760001,0,43.2,6318.0396423,6274.8396423,75298.0757076,75816.47570760001,75298.07570760002
13/06/2026 01:05,1,Intermedio,2520.0,0.0,30240.0,0.0,8269.3146967,0,99231.77636039999,0,2520.0,8269.3146967,5749.314696699999,68991.77636039999,99231.77636039999,68991.77636039999
13/06/2026 02:05,2,Base,43.2,0.0,518.4000000000001,0.0,6201.0318298,0,74412.38195760001,0,43.2,6201.0318298,6157.8318298,73893.9819576,74412.38195760001,73893.98195760002
13/06/2026 03:05,3,Base,57.6,0.0,691.2,0.0,6734.309845,0,80811.71814,0,57.6,6734.309845,6676.709844999999,80120.51814,80811.71814,80120.51814
13/06/2026 04:05,4,Base,43.2,0.0,518.4000000000001,0.0,5923.6414795,0,71083.697754,0,43.2,5923.6414795,5880.4414795,70565.297754,71083.697754,70565.297754
13/06/2026 05:05,5,Base,43.2,0.0,518.4000000000001,0.0,5715.3421326,0,68584.1055912,0,43.2,5715.3421326,5672.1421326,68065.7055912,68584.1055912,68065.7055912
13/06/2026 06:05,6,Base,43.2,0.0,518.4000000000001,0.0,5071.884918199999,0,60862.61901839999,0,43.2,5071.884918199999,5028.6849182,60344.21901839999,60862.61901839999,60344.21901839999
13/06/2026 07:05,7,Base,57.6,0.0,691.2,0.0,6300.4703673,0,75605.6444076,0,57.6,6300.4703673,6242.8703673,74914.4444076,75605.6444076,74914.4444076
13/06/2026 08:05,8,Intermedio,43.2,0.0,518.4000000000001,0.0,7350.1062622,0,88201.2751464,0,43.2,7350.1062622,7306.9062622,87682.87514640001,88201.2751464,87682.87514640001
13/06/2026 09:05,9,Intermedio,43.2,0.0,518.4000000000001,0.0,6313.1213377,0,75757.4560524,0,43.2,6313.1213377,6269.921337700001,75239.0560524,75757.4560524,75239.0560524
13/06/2026 10:05,10,Intermedio,43.2,0.0,518.4000000000001,0.0,5171.1262818,0,62053.515381599995,0,43.2,5171.1262818,5127.9262818,61535.1153816,62053.515381599995,61535.11538159999
